,LINK,RECEITA,TIPO,PREPARO,RENDIMENTO
58,https://www.tudogostoso.com.br/receita/391-amor-em-pedaco.html, Amor em pedaço ,,60.0,12
59,https://www.tudogostoso.com.br/receita/392-arroz-a-campanhola.html, Arroz a campanhola ,,60.0,8
60,https://www.tudogostoso.com.br/receita/393-macas-crocantes.html, Maçãs crocantes ,,15.0,8
61,https://www.tudogostoso.com.br/receita/395-torta-rapida-de-banana.html, Torta rápida de banana ,,50.0,12
62,https://www.tudogostoso.com.br/receita/397-arroz-a-moda-chinesa.html, Arroz à moda chinesa ,,0.0,0
63,https://www.tudogostoso.com.br/receita/400-amendoim-crocante.html, Amendoim crocante ,,0.0,0
64,https://www.tudogostoso.com.br/receita/401-bolo-de-banana.html, Bolo de banana ,,45.0,15
65,https://www.tudogostoso.com.br/receita/403-arroz-com-cerveja.html, Arroz com cerveja ,,0.0,4
66,https://www.tudogostoso.com.br/receita/409-camapeixe-sem-misterio.html, Camapeixe sem mistério ,Microondas,30.0,6
67,https://www.tudogostoso.com.br/receita/411-pure-de-batata-com-atum-ao-forno.html, Purê de batata com atum ao forno ,,45.0,10
68,https://www.tudogostoso.com.br/receita/412-amendoim-torrado-doce.html, Amendoim torrado doce ,Microondas,0.0,0
69,https://www.tudogostoso.com.br/receita/415-arroz-com-brocolis-e-bacalhau.html, Arroz com brócolis e bacalhau ,,30.0,5
70,https://www.tudogostoso.com.br/receita/418-arroz-cuiabano.html, Arroz cuiabano ,,0.0,0
71,https://www.tudogostoso.com.br/receita/422-sopa-de-ervilha-carioca.html, Sopa de ervilha carioca ,,40.0,10
72,https://www.tudogostoso.com.br/receita/424-delicias-de-chocolate.html, Delícias de chocolate ,,15.0,8
73,https://www.tudogostoso.com.br/receita/426-bolo-de-iogurte.html, Bolo de iogurte ,,60.0,6
74,https://www.tudogostoso.com.br/receita/427-bolinho-de-batata.html, Bolinho de batata ,,60.0,4
75,https://www.tudogostoso.com.br/receita/428-pao-de-queijo.html, Pão de queijo ,,40.0,36
76,https://www.tudogostoso.com.br/receita/433-pao-ao-polvilho-de-acucar-com-canela.html, Pão ao polvilho de açúcar com canela ,,70.0,8
77,https://www.tudogostoso.com.br/receita/434-pao-de-churrasco-alemao.html, Pão de churrasco alemão ,,10.0,10
78,https://www.tudogostoso.com.br/receita/436-pudim-de-pao.html, Pudim de pão ,,0.0,0
79,https://www.tudogostoso.com.br/receita/440-pizza-de-panela.html, Pizza de panela ,,45.0,10
80,https://www.tudogostoso.com.br/receita/446-sobremesa-de-ricota.html, Sobremesa de ricota ,,30.0,10
81,https://www.tudogostoso.com.br/receita/447-pave-da-denise.html, Pavê da Denise ,,20.0,20
82,https://www.tudogostoso.com.br/receita/457-pudim-de-pao-especial.html, Pudim de pão especial ,,40.0,10
83,https://www.tudogostoso.com.br/receita/459-bolo-de-aipim.html, Bolo de aipim ,,100.0,30
84,https://www.tudogostoso.com.br/receita/460-pudim-de-pao.html, Pudim de pão ,,90.0,10
85,https://www.tudogostoso.com.br/receita/462-chimia-de-ovo-da-vovo.html, Chimia de ovo da vovó ,,0.0,0
86,https://www.tudogostoso.com.br/receita/463-abobrinha-festiva.html, Abobrinha festiva ,,40.0,4
87,https://www.tudogostoso.com.br/receita/467-molho-de-queijo.html, Molho de queijo ,,30.0,0
88,https://www.tudogostoso.com.br/receita/470-compota-de-macas.html, Compota de maçãs ,Microondas,12.0,6
89,https://www.tudogostoso.com.br/receita/474-pudim-da-sogra.html, Pudim da sogra ,,30.0,12
90,https://www.tudogostoso.com.br/receita/478-bolo-de-limao-da-sogra.html, Bolo de limão da sogra ,,25.0,10
91,https://www.tudogostoso.com.br/receita/483-bolo-de-toddy.html, Bolo de toddy ,,30.0,1
92,https://www.tudogostoso.com.br/receita/484-bolo-de-milho-diferente.html, Bolo de milho diferente ,,50.0,10
93,https://www.tudogostoso.com.br/receita/487-lanchinho-rapido-de-espinafre.html, Lanchinho rápido de espinafre ,,30.0,4
94,https://www.tudogostoso.com.br/receita/493-galinha-com-farinha-de-polenta.html, Galinha com farinha de polenta ,,2.0,0
95,https://www.tudogostoso.com.br/receita/495-sardinhas-com-recheio.html, Sardinhas com recheio ,,45.0,8
96,https://www.tudogostoso.com.br/receita/497-bolo-de-coco.html, Bolo de coco ,,60.0,6
97,https://www.tudogostoso.com.br/receita/498-rocambole-pratico-camarao.html, Rocambole prático (camarão) ,,60.0,6
98,https://www.tudogostoso.com.br/receita/500-costela-de-porco-recheada.html, Costela de porco recheada ,,60.0,10
99,https://www.tudogostoso.com.br/receita/501-berinjela-a-napolitana.html, Berinjela à napolitana ,,80.0,15
100,https://www.tudogostoso.com.br/receita/503-torta-gelada.html, Torta gelada ,,100.0,12
101,https://www.tudogostoso.com.br/receita/505-pao-dos-deuses.html, Pão dos deuses ,,180.0,0
102,https://www.tudogostoso.com.br/receita/509-suspiro-com-chocolate.html, Suspiro com chocolate ,,20.0,10
103,https://www.tudogostoso.com.br/receita/516-salpicao-da-crisxan.html, Salpicão da Crisxan ,,30.0,20
104,https://www.tudogostoso.com.br/receita/518-bolo-de-coca-cola-iii.html, Bolo de Coca-Cola III ,,60.0,20
105,https://www.tudogostoso.com.br/receita/519-frango-a-taffarell.html, Frango à Taffarell ,,40.0,6
106,https://www.tudogostoso.com.br/receita/523-salada-refrescante.html, Salada refrescante ,,1.0,0
107,https://www.tudogostoso.com.br/receita/524-pudim-nordestino-de-banana.html, Pudim nordestino de banana ,,255.0,12
108,https://www.tudogostoso.com.br/receita/527-biscoitos-amanteigados.html, Biscoitos amanteigados ,,50.0,50
109,https://www.tudogostoso.com.br/receita/530-pudim-de-verao.html, Pudim de verão ,,10.0,10
110,https://www.tudogostoso.com.br/receita/533-pudim-de-leite-em-po.html, Pudim de leite em pó ,,60.0,8
111,https://www.tudogostoso.com.br/receita/535-pao-de-azeite.html, Pão de azeite ,,90.0,2
112,https://www.tudogostoso.com.br/receita/537-batatas-enroladas.html, Batatas enroladas ,,40.0,5
113,https://www.tudogostoso.com.br/receita/539-tortinha-soufle.html, Tortinha souflé ,,45.0,5
114,https://www.tudogostoso.com.br/receita/541-rocambole-salgado.html, Rocambole salgado ,,30.0,8
115,https://www.tudogostoso.com.br/receita/542-torta.html, Torta ,,40.0,12
116,https://www.tudogostoso.com.br/receita/543-pizza-frita.html, Pizza frita ,,120.0,50
117,https://www.tudogostoso.com.br/receita/544-mousse-de-maracuja.html, Mousse de maracujá ,,10.0,6
118,https://www.tudogostoso.com.br/receita/545-camarao-ao-molho-de-moqueca.html, Camarão ao molho de moqueca ,,50.0,6
119,https://www.tudogostoso.com.br/receita/549-pizza-a-jato-de-calabresa.html, Pizza a jato de calabresa ,,15.0,6
120,https://www.tudogostoso.com.br/receita/553-bolo-de-maca-verde.html, Bolo de maçã verde ,,75.0,10
121,https://www.tudogostoso.com.br/receita/555-pao-de-queijo-gostoso.html, Pão de queijo gostoso ,,30.0,50
122,https://www.tudogostoso.com.br/receita/558-chocolate-quente.html, Chocolate quente ,,15.0,6
123,https://www.tudogostoso.com.br/receita/560-camafeus.html, Camafeus ,,60.0,50
124,https://www.tudogostoso.com.br/receita/562-couve-flor-a-minha-moda.html, Couve-flor à minha moda ,,15.0,8
125,https://www.tudogostoso.com.br/receita/563-bolo-de-natal.html, Bolo de Natal ,,15.0,8
126,https://www.tudogostoso.com.br/receita/566-pudim-de-tapioca.html, Pudim de tapioca ,,30.0,10
127,https://www.tudogostoso.com.br/receita/571-sopao-da-tia-sao.html, Sopão da tia São ,,30.0,6
128,https://www.tudogostoso.com.br/receita/572-pizza-de-mussarela-com-catupiry-da-lane.html, Pizza de mussarela com catupiry da Lane ,,30.0,8
129,https://www.tudogostoso.com.br/receita/574-macas-coloridas.html, Maçãs coloridas ,,70.0,6
130,https://www.tudogostoso.com.br/receita/575-pudim-no-forno.html, Pudim no forno ,,60.0,8
131,https://www.tudogostoso.com.br/receita/577-estrogonofe-de-chocolate.html, Estrogonofe de chocolate ,,40.0,8
132,https://www.tudogostoso.com.br/receita/578-empadinhas-de-batata-do-claudio.html, Empadinhas de batata do Claudio ,,20.0,30
133,https://www.tudogostoso.com.br/receita/579-sorvete-de-gelatina.html, Sorvete de gelatina ,,20.0,0
134,https://www.tudogostoso.com.br/receita/582-queijinho-tipo-petit-suisse.html, Queijinho tipo Petit Suisse ,,5.0,6
135,https://www.tudogostoso.com.br/receita/584-mousse-saborosa.html, Mousse saborosa ,Microondas,8.0,10
136,https://www.tudogostoso.com.br/receita/586-torta-de-bombons.html, Torta de bombons ,,30.0,15
137,https://www.tudogostoso.com.br/receita/591-feijao-mexido.html, Feijão mexido ,,30.0,10
138,https://www.tudogostoso.com.br/receita/593-bolo-de-chocolate-com-banana.html, Bolo de chocolate com banana ,,45.0,1
139,https://www.tudogostoso.com.br/receita/594-pudim-duas-cores.html, Pudim duas cores ,,60.0,8
140,https://www.tudogostoso.com.br/receita/595-bolo-de-bolacha-de-nata.html, Bolo de bolacha de nata ,,20.0,24
141,https://www.tudogostoso.com.br/receita/598-maravilha-de-limao.html, Maravilha de limão ,,20.0,6
142,https://www.tudogostoso.com.br/receita/599-bolo-de-amendoim.html, Bolo de amendoim ,,80.0,12
143,https://www.tudogostoso.com.br/receita/603-arroz-marroquino.html, Arroz marroquino ,,60.0,6
144,https://www.tudogostoso.com.br/receita/604-parafuso-com-pimentao-e-linguica.html, Parafuso com pimentão e linguiça ,,30.0,4
145,https://www.tudogostoso.com.br/receita/608-manjar-fino.html, Manjar fino ,,45.0,15
146,https://www.tudogostoso.com.br/receita/612-pave-de-bis.html, Pavê de Bis ,,50.0,8
147,https://www.tudogostoso.com.br/receita/613-batata-em-molho.html, Batata em molho ,,0.0,0
148,https://www.tudogostoso.com.br/receita/614-pao-delicioso-de-atum.html, Pão delicioso de atum ,,60.0,1
149,https://www.tudogostoso.com.br/receita/620-pudim-gelado.html, Pudim gelado ,,30.0,1
150,https://www.tudogostoso.com.br/receita/623-bebida-de-gelatina.html, Bebida de gelatina ,,15.0,8
151,https://www.tudogostoso.com.br/receita/624-creme-de-morango.html, Creme de morango ,,0.0,6
152,https://www.tudogostoso.com.br/receita/625-berinjela-recheada.html, Berinjela recheada ,,60.0,8
153,https://www.tudogostoso.com.br/receita/629-bolo-capuccino-de-banana-expresso.html, Bolo capuccino de banana expresso ,,40.0,25
